words	visible_chars	semrush_ratio	url	local_file
175	1109	0.03	https://brightai.site/frontend/pages/ai-workflows/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-workflows/index.html
188	1164	0.02	https://brightai.site/frontend/pages/try/text-analysis/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/try/text-analysis/index.html
204	1233	0.02	https://brightai.site/frontend/pages/try/data-analyzer/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/try/data-analyzer/index.html
245	1617	0.04	https://brightai.site/frontend/pages/ai-bots/BrightRecruiter/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-bots/BrightRecruiter/index.html
253	1530	0.04	https://brightai.site/docs/contact	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/contact.html
254	1665	0.04	https://brightai.site/frontend/pages/ai-bots/BrightSales/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-bots/BrightSales/index.html
254	1704	0.04	https://brightai.site/frontend/pages/ai-bots/BrightProject/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-bots/BrightProject/index.html
260	1705	0.04	https://brightai.site/frontend/pages/ai-bots/BrightMath/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-bots/BrightMath/index.html
264	1560	0.04	https://brightai.site/docs/contact-en	/Users/yzydalshmry/Desktop/BRIGHTAI/docs/contact-en.html
267	1771	0.04	https://brightai.site/frontend/pages/ai-bots/BrightSupport/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/ai-bots/BrightSupport/index.html
279	1765	0.04	https://brightai.site/frontend/pages/privacy-cookies/	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/privacy-cookies/index.html
320	2067	0.05	https://brightai.site/frontend/pages/blogger/transport-logistics-solutions.html	/Users/yzydalshmry/Desktop/BRIGHTAI/frontend/pages/blogger/transport-logistics-solutions.html
