Page URL,Hreflang Link URL,Error Type,HTTP Code,Occurrences,Discovered At,Title
https://brightai.site/frontend/pages/try/text-analysis/,https://brightai.site/try/text-analysis,9,301,5,2026-03-07T23:17:12.501Z,التحليل النصي الذكي | Bright AI
https://brightai.site/frontend/pages/try/data-quality/,https://brightai.site/try/data-quality,9,301,4,2026-03-07T23:17:12.501Z,مراقبة جودة البيانات والمنتجات | Bright AI Enterprise
https://brightai.site/frontend/pages/try/data-analyzer/,https://brightai.site/try/data-analyzer,9,301,5,2026-03-07T23:17:12.501Z,محلل البيانات الذكي | Bright AI - تحليل CSV و Excel
https://brightai.site/frontend/pages/try/,/frontend/pages/try/,10,,0,2026-03-08T01:07:05.713Z,نماذج الذكاء الاصطناعي | Bright AI - جرب أدواتنا مجاناً
https://brightai.site/frontend/pages/smart-medical-archive/,/frontend/pages/smart-medical-archive/,10,,0,2026-03-08T01:07:05.713Z,نظام الأرشيف الطبي الذكي للمستشفيات في السعودية | تجربة
https://brightai.site/frontend/pages/sectors/manufacturing.html,/frontend/pages/sectors/manufacturing.html,10,,0,2026-03-08T01:07:05.713Z,الذكاء الاصطناعي للصناعة السعودية | Bright AI
https://brightai.site/frontend/pages/sectors/logistics.html,/frontend/pages/sectors/logistics.html,10,,0,2026-03-08T01:07:05.713Z,الذكاء الاصطناعي للوجستيات في السعودية | Bright AI
https://brightai.site/frontend/pages/sectors/healthcare.html,/frontend/pages/sectors/healthcare.html,10,,0,2026-03-08T01:07:05.713Z,الذكاء الاصطناعي للرعاية الصحية في السعودية | Bright AI
https://brightai.site/frontend/pages/sectors/finance.html,/frontend/pages/sectors/finance.html,10,,0,2026-03-08T01:07:05.713Z,الذكاء الاصطناعي للقطاع المالي السعودي | Bright AI
https://brightai.site/frontend/pages/sectors/energy.html,/frontend/pages/sectors/energy.html,10,,0,2026-03-08T01:07:05.713Z,الذكاء الاصطناعي لقطاع الطاقة السعودي | Bright AI
https://brightai.site/frontend/pages/sectors/ecommerce.html,/frontend/pages/sectors/ecommerce.html,10,,0,2026-03-08T01:07:05.713Z,الذكاء الاصطناعي للتجارة الإلكترونية السعودية | Bright AI
https://brightai.site/frontend/pages/privacy-cookies/,/frontend/pages/privacy-cookies/,10,,0,2026-03-08T01:07:05.713Z,Bright AI | سياسة ملفات تعريف الارتباط
https://brightai.site/frontend/pages/interview/,https://brightai.site/interview,9,301,4,2026-03-07T23:17:12.501Z,منصة المقابلات الذكية | Bright AI
https://brightai.site/frontend/pages/demo/resources/report-ai-saudi-2026/,https://brightai.site/demo/resources/report-ai-saudi-2026,9,301,4,2026-03-07T23:17:12.501Z,تقرير الذكاء الاصطناعي السعودي 2026 | تحميل لصناع القرار
https://brightai.site/frontend/pages/demo/pricing/,/frontend/pages/demo/pricing/,10,,0,2026-03-08T01:07:05.713Z,أسعار Bright AI | باقات مرنة للشركات السعودية
https://brightai.site/frontend/pages/demo/ocr-demo/,https://brightai.site/demo/ocr-demo,9,301,4,2026-03-07T23:17:12.501Z,OCR عربي فوري للشركات السعودية | استخراج JSON دقيق
https://brightai.site/frontend/pages/blogger/مقال-تحليل.html,/frontend/pages/blogger/%D9%85%D9%82%D8%A7%D9%84-%D8%AA%D8%AD%D9%84%D9%8A%D9%84.html,10,,0,2026-03-08T01:07:05.713Z,كيف تغيّر الذكاء الاصطناعي مستقبل تحليل البيانات: الأدوات
https://brightai.site/frontend/pages/blogger/تعلم-الآلة-و-الأعمال.html,/frontend/pages/blogger/%D8%AA%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%A2%D9%84%D8%A9-%D9%88-%D8%A7%D9%84%D8%A3%D8%B9%D9%85%D8%A7%D9%84.html,10,,0,2026-03-08T01:07:05.713Z,تعلم الآلة للأعمال في السعودية | Bright AI
https://brightai.site/frontend/pages/blogger/تحليل-البيانات.html,/frontend/pages/blogger/%D8%AA%D8%AD%D9%84%D9%8A%D9%84-%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA.html,10,,0,2026-03-08T01:07:05.713Z,تحليل البيانات لاتخاذ القرار | Bright AI السعودية
https://brightai.site/frontend/pages/blogger/الذكاء-الاصطناعي-و-التسويق.html,/frontend/pages/blogger/%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D9%88-%D8%A7%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D9%82.html,10,,0,2026-03-08T01:07:05.713Z,الذكاء الاصطناعي في التسويق | Bright AI السعودية
